transit_timestamp,bus_route,payment_method,fare_class_category,ridership,transfers,date
2023-01-01T00:00:00.000,B1,metrocard,Metrocard - Unlimited 30-Day,2,0,2023-01-01
2023-01-01T00:00:00.000,Q67,omny,Metrocard - Unlimited 30-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,Q67,omny,Metrocard - Unlimited 7-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,Q67,omny,OMNY - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q69,metrocard,Metrocard - Full Fare,3,1,2023-01-01
2023-01-01T00:00:00.000,Q69,metrocard,Metrocard - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q69,metrocard,Metrocard - Unlimited 30-Day,4,0,2023-01-01
2023-01-01T00:00:00.000,Q69,metrocard,OMNY - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q69,omny,Metrocard - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q70+,metrocard,Metrocard - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q70+,metrocard,Metrocard - Unlimited 30-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,Q70+,metrocard,Metrocard - Unlimited 7-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,Q70+,metrocard,OMNY - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q70+,omny,Metrocard - Unlimited 7-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,Q70+,omny,OMNY - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q70+,omny,OMNY - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q67,omny,Metrocard - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q67,metrocard,Metrocard - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q66,omny,OMNY - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q66,omny,OMNY - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q64,omny,OMNY - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q64,omny,OMNY - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q65,metrocard,Metrocard - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q65,metrocard,Metrocard - Unlimited 7-Day,13,0,2023-01-01
2023-01-01T00:00:00.000,Q65,metrocard,OMNY - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q65,omny,Metrocard - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q65,omny,Metrocard - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q70+,omny,OMNY - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q65,omny,Metrocard - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q65,omny,OMNY - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q65,omny,OMNY - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q65,omny,OMNY - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q66,metrocard,Metrocard - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q66,metrocard,Metrocard - Unlimited 30-Day,1,0,2023-01-01
2023-01-01T00:00:00.000,Q66,omny,Metrocard - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q66,omny,OMNY - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q65,omny,Metrocard - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q64,omny,OMNY - Full Fare,4,1,2023-01-01
2023-01-01T00:00:00.000,Q72,omny,OMNY - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q74,metrocard,OMNY - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q76,omny,Metrocard - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q76,omny,Metrocard - Unlimited 7-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,Q77,metrocard,Metrocard - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q77,metrocard,Metrocard - Unlimited 30-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,Q77,metrocard,OMNY - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q77,omny,Metrocard - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q77,omny,Metrocard - Unlimited 7-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,Q77,omny,OMNY - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q77,omny,OMNY - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q77,omny,OMNY - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q80,metrocard,Metrocard - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q80,metrocard,OMNY - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q80,omny,Metrocard - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q80,omny,Metrocard - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q82,metrocard,OMNY - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q76,omny,Metrocard - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q76,omny,Metrocard - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q76,metrocard,OMNY - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q76,metrocard,OMNY - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q74,metrocard,OMNY - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q74,omny,Metrocard - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q74,omny,Metrocard - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q74,omny,Metrocard - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q74,omny,Metrocard - Unlimited 30-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,Q74,omny,Metrocard - Unlimited 7-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,Q74,omny,OMNY - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q72,omny,OMNY - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q75,metrocard,Metrocard - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q75,metrocard,OMNY - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q75,omny,Metrocard - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q75,omny,OMNY - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q76,metrocard,Metrocard - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q76,metrocard,Metrocard - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q76,metrocard,Metrocard - Unlimited 30-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,Q76,metrocard,OMNY - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q75,metrocard,OMNY - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q82,metrocard,OMNY - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q64,omny,Metrocard - Unlimited 7-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,Q64,omny,Metrocard - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q53+,metrocard,Metrocard - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q53+,metrocard,OMNY - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q53+,omny,Metrocard - Unlimited 7-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,Q54,metrocard,OMNY - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q54,omny,OMNY - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q55,metrocard,Metrocard - Full Fare,6,3,2023-01-01
2023-01-01T00:00:00.000,Q55,metrocard,Metrocard - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q55,metrocard,Metrocard - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q55,omny,Metrocard - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q55,omny,Metrocard - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q55,omny,Metrocard - Unlimited 30-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,Q56,metrocard,Metrocard - Fair Fare,3,2,2023-01-01
2023-01-01T00:00:00.000,Q56,metrocard,OMNY - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q56,metrocard,OMNY - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q56,omny,Metrocard - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q53+,metrocard,Metrocard - Fair Fare,1,1,2023-01-01
2023-01-01T00:00:00.000,Q52+,omny,Metrocard - Unlimited 30-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,Q52+,omny,Metrocard - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q52+,omny,Metrocard - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q50,metrocard,Metrocard - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q50,metrocard,Metrocard - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q50,metrocard,Metrocard - Unlimited 7-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,Q50,metrocard,OMNY - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q50,metrocard,OMNY - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q50,omny,OMNY - Full Fare,3,1,2023-01-01
2023-01-01T00:00:00.000,Q51,metrocard,Metrocard - Unlimited 7-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,Q56,omny,Metrocard - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q51,metrocard,OMNY - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q51,omny,OMNY - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q52+,metrocard,Metrocard - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q52+,metrocard,Metrocard - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q52+,metrocard,OMNY - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q52+,metrocard,OMNY - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q52+,omny,Metrocard - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q52+,omny,Metrocard - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q51,metrocard,OMNY - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q64,omny,Metrocard - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q56,omny,OMNY - Full Fare,2,0,2023-01-01
2023-01-01T00:00:00.000,Q58,metrocard,Metrocard - Other,1,0,2023-01-01
2023-01-01T00:00:00.000,Q63,metrocard,Metrocard - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q63,metrocard,Metrocard - Full Fare,0,0,2023-01-01
