date,temperature_mean,temperature_max,temperature_min,precipitation,windspeed,weather_code
2023-01-01,8.7,11.8,4.8,1.1,17.4,55
2023-01-02,7.9,12.7,4.4,0.6,9.0,51
2023-01-03,9.6,12.7,6.2,9.4,19.4,63
2023-01-04,13.0,17.9,9.4,2.3,18.2,53
2023-01-05,9.8,13.0,7.3,0.0,12.1,3
2023-01-06,5.9,8.6,2.4,9.6,16.3,61
2023-01-07,3.6,8.1,0.4,0.0,20.2,3
2023-01-08,1.2,4.1,-2.4,0.0,13.7,3
2023-01-09,3.0,7.1,0.6,1.5,17.9,71
2023-01-10,2.6,6.2,-0.0,0.0,14.3,3
2023-01-11,0.9,3.8,-1.3,0.0,13.8,3
2023-01-12,5.6,10.6,-0.7,12.1,21.0,63
2023-01-13,8.8,12.6,2.8,1.4,27.1,51
2023-01-14,0.8,2.5,-1.3,0.0,31.3,3
2023-01-15,0.6,5.0,-1.8,0.0,33.8,3
2023-01-16,1.5,8.1,-2.5,0.0,26.0,1
2023-01-17,2.5,7.3,-2.1,1.4,12.6,53
2023-01-18,6.6,10.7,2.8,1.7,25.5,53
2023-01-19,4.0,5.5,2.3,24.1,16.3,63
2023-01-20,5.3,8.9,1.7,0.1,30.7,51
2023-01-21,2.4,6.0,-2.4,0.1,19.9,51
2023-01-22,1.5,5.5,-3.5,7.9,18.1,63
2023-01-23,2.3,2.9,0.3,14.4,25.0,73
2023-01-24,2.2,7.6,-1.2,0.0,27.7,3
2023-01-25,2.6,11.3,-2.5,21.6,44.7,73
2023-01-26,7.0,11.8,2.3,12.9,36.0,63
2023-01-27,2.0,6.0,-1.7,0.0,19.2,3
2023-01-28,4.5,10.8,-0.9,0.0,23.8,3
2023-01-29,5.6,10.4,0.0,0.0,22.5,3
2023-01-30,6.1,11.6,2.3,0.0,13.2,3
2023-01-31,3.0,6.4,-0.2,2.5,19.1,73
2023-02-01,-0.9,3.1,-3.6,1.6,16.5,73
2023-02-02,-0.2,4.0,-4.5,0.0,20.3,3
2023-02-03,-5.0,0.1,-11.2,0.0,42.2,3
2023-02-04,-9.4,-4.0,-16.6,0.0,39.8,3
2023-02-05,1.6,9.0,-4.5,0.0,19.1,3
2023-02-06,4.0,10.1,-1.1,0.0,29.2,3
2023-02-07,0.4,3.6,-4.2,2.7,21.6,71
2023-02-08,4.6,10.3,0.5,0.6,22.5,53
2023-02-09,5.0,11.0,-1.9,0.0,20.9,3
2023-02-10,10.9,14.0,5.8,0.0,28.1,3
2023-02-11,3.4,6.6,0.3,0.0,23.5,3
2023-02-12,2.8,6.7,-0.7,1.4,18.7,73
2023-02-13,6.6,13.2,2.4,1.2,23.9,71
2023-02-14,6.1,11.3,2.4,0.0,23.2,3
2023-02-15,10.4,16.9,2.9,0.0,26.9,3
2023-02-16,12.5,19.1,9.1,2.9,16.5,61
2023-02-17,9.1,15.3,-1.1,8.1,33.8,61
2023-02-18,0.9,5.6,-2.8,0.0,26.1,2
2023-02-19,4.2,8.0,-0.5,0.0,29.8,3
2023-02-20,8.8,15.2,5.4,0.0,25.3,3
2023-02-21,4.1,8.2,1.7,7.1,17.8,73
2023-02-22,2.4,5.5,-0.9,4.4,15.8,73
2023-02-23,4.6,7.6,2.6,0.6,16.1,51
2023-02-24,3.5,7.3,-3.2,0.0,35.3,3
2023-02-25,-3.0,0.1,-5.7,0.7,19.8,71
2023-02-26,2.2,10.1,-3.9,0.0,34.7,3
2023-02-27,1.5,4.8,-2.3,5.3,23.7,75
2023-02-28,0.8,2.0,-0.8,11.6,24.8,75
2023-03-01,2.0,5.7,-2.6,3.5,22.0,75
2023-03-02,6.7,13.6,2.1,1.4,23.2,53
2023-03-03,3.2,7.4,-1.7,4.4,35.3,61
2023-03-04,5.2,7.0,3.0,40.2,38.4,65
2023-03-05,5.4,12.1,-0.5,0.0,27.4,3
2023-03-06,5.8,10.1,1.3,0.0,23.1,3
2023-03-07,3.4,7.3,0.5,2.7,36.3,73
2023-03-08,2.8,9.3,-2.2,0.0,34.6,3
2023-03-09,4.2,10.3,-0.6,0.0,22.3,3
2023-03-10,3.3,7.3,-1.4,9.6,16.8,63
2023-03-11,4.0,6.9,1.6,10.8,25.8,75
2023-03-12,3.4,7.7,-1.2,0.0,19.2,3
2023-03-13,4.5,5.8,3.3,18.8,21.6,61
2023-03-14,1.9,3.0,1.0,10.1,44.3,73
2023-03-15,3.1,6.9,0.7,0.0,38.7,3
2023-03-16,5.6,13.3,-1.4,0.0,18.7,3
2023-03-17,8.6,14.2,2.4,0.0,22.2,3
2023-03-18,7.2,10.9,2.9,0.7,26.1,51
2023-03-19,0.9,3.6,-2.9,0.0,27.3,3
2023-03-20,3.2,10.6,-3.4,0.0,17.8,0
2023-03-21,7.5,15.7,-1.1,0.0,20.1,3
2023-03-22,7.8,13.2,2.2,0.0,23.1,3
2023-03-23,10.9,14.8,5.1,2.8,24.5,61
2023-03-24,8.3,12.2,5.0,0.2,19.1,51
2023-03-25,5.5,7.4,2.8,11.5,31.4,63
2023-03-26,9.3,14.9,3.1,0.0,24.5,1
2023-03-27,7.7,14.7,2.4,2.6,23.7,61
2023-03-28,6.4,11.1,3.0,0.6,21.1,51
2023-03-29,5.3,10.9,-0.2,0.0,24.2,3
2023-03-30,3.0,7.4,-1.6,0.1,28.5,51
2023-03-31,6.1,9.9,-0.9,0.0,29.4,3
2023-04-01,14.8,19.6,10.5,10.1,29.0,63
2023-04-02,6.5,9.7,2.4,0.0,35.3,2
2023-04-03,7.3,13.3,-0.3,0.0,30.9,3
2023-04-04,13.3,18.6,5.8,0.0,16.8,3
2023-04-05,11.5,13.5,9.2,0.4,20.5,51
2023-04-06,16.6,26.4,10.5,3.3,18.7,61
2023-04-07,10.8,13.8,5.7,0.0,21.9,3
